#This file contains RV, FWHM, and BIS of K2-233
#4th column indicates the type of time-series
#  0 - RV
#  1 - FWHM
#  2 - BIS
#
8257.57554486 -9.62196825 0.00190999 0
8257.63621576 -9.62439652 0.00202006 0
8257.75499969 -9.62595824 0.00200133 0
8258.56443806 -9.65920057 0.00185920 0
8258.65878913 -9.66634270 0.00218706 0
8259.61794704 -9.67849234 0.00183342 0
8259.73696205 -9.67741481 0.00182286 0
8260.58003163 -9.65732428 0.00161894 0
8260.83140599 -9.65561300 0.00191619 0
8261.66094414 -9.65918436 0.00179878 0
8261.82202994 -9.65923497 0.00177844 0
8270.61865330 -9.63790216 0.00336400 0
8271.63049940 -9.66579701 0.00166057 0
8271.78704571 -9.67135943 0.00291674 0
8272.60293539 -9.66258778 0.00194101 0
8272.75565056 -9.65858094 0.00190762 0
8273.56746505 -9.66180092 0.00173140 0
8273.67891976 -9.66746078 0.00198878 0
8273.77231949 -9.66483541 0.00213877 0
8274.53706254 -9.66069522 0.00202102 0
8274.67799524 -9.65491357 0.00244137 0
8275.54524516 -9.62925344 0.00248125 0
8275.71684785 -9.62416108 0.00268974 0
8276.57509208 -9.61490499 0.00191778 0
8276.79467881 -9.62407524 0.00227894 0
8277.54585400 -9.65635886 0.00172943 0
8277.76344974 -9.66056682 0.00245252 0
8278.62864703 -9.66705769 0.00164357 0
8278.79637175 -9.66613090 0.00322891 0
8282.60390368 -9.65699301 0.00149728 0
8282.70665356 -9.65986009 0.00186104 0
8284.55869502 -9.65434583 0.00148493 0
8284.66654853 -9.64996660 0.00165922 0
8286.60132355 -9.61721169 0.00201480 0
8286.67110003 -9.62086880 0.00201809 0
8287.56310175 -9.64210629 0.00228481 0
8287.70989948 -9.65149326 0.00209906 0
8288.53848903 -9.65363428 0.00143783 0
8288.69025157 -9.64765275 0.00168548 0
8289.56896453 -9.63263750 0.00158846 0
8289.67719921 -9.63803668 0.00153372 0
8290.58276131 -9.66376821 0.00180977 0
8290.65525715 -9.66586226 0.00168374 0
8291.59335088 -9.65222396 0.00229868 0
8291.67106623 -9.64886048 0.00195864 0
8292.56566595 -9.65346571 0.00216437 0
8292.62613687 -9.66060077 0.00211659 0
8293.57643809 -9.67855889 0.00174030 0
8293.63789266 -9.68008353 0.00241471 0
8294.59241694 -9.65920978 0.00209562 0
8295.56369826 -9.61742574 0.00219183 0
8295.63399470 -9.61812544 0.00220190 0
8298.53272830 -9.64192934 0.00222588 0
8298.70724200 -9.64155325 0.00190114 0
8299.55511258 -9.65788828 0.00188596 0
8299.70306539 -9.66429616 0.00269676 0
8301.65781319 -9.64244266 0.00433978 0
8306.58030943 -9.60987820 0.00264709 0
8307.53280574 -9.63268479 0.00211196 0
8307.64731077 -9.63419725 0.00184889 0
8308.48262772 -9.64741870 0.00182469 0
8308.62203810 -9.64381205 0.00183460 0
8309.47693601 -9.66143943 0.00145367 0
8309.69269436 -9.66260462 0.00183946 0
8310.50846257 -9.66118410 0.00152811 0
8310.70234747 -9.65508587 0.00274953 0
8311.47609285 -9.63732936 0.00169551 0
8311.65670318 -9.64091709 0.00209901 0
8312.49464399 -9.66841526 0.00164650 0
8312.67958251 -9.67835633 0.00198478 0
8313.46963300 -9.67846860 0.00139620 0
8313.61550052 -9.67079961 0.00153607 0
8334.49278042 -9.62745059 0.00186174 0
8334.59345364 -9.62856655 0.00182040 0
8335.50424577 -9.63141469 0.00232819 0
8335.55012098 -9.63475999 0.00271101 0
8335.59716507 -9.63214998 0.00693445 0
8336.51624314 -9.63255111 0.00154532 0
8336.58439628 -9.63065821 0.00158744 0
8338.47929383 -9.63685528 0.00346995 0
8339.50097693 -9.62041753 0.00170548 0
8339.54620401 -9.62498484 0.00175914 0
8339.61596574 -9.62842397 0.00219607 0
8340.53024010 -9.65001474 0.00266496 0
8340.60075405 -9.65006346 0.00231469 0
8341.50027274 -9.68160100 0.00184057 0
8341.56748840 -9.68348322 0.00179351 0
8341.61158131 -9.68513069 0.00190772 0
8342.47641575 -9.66879140 0.00281837 0
8342.55461412 -9.66160536 0.00229524 0
8342.59881119 -9.66084172 0.00215533 0
8343.51131447 -9.62351852 0.00182756 0
8343.57894673 -9.62151657 0.00191197 0
8344.47853453 -9.62817756 0.00173343 0
8344.54661813 -9.62947330 0.00173780 0
8345.47016185 -9.63147253 0.00158670 0
8345.54115026 -9.63237695 0.00164058 0
8349.54927580 -9.64875922 0.00191012 0
8349.60763814 -9.65090422 0.00292715 0
8350.52268743 -9.65998848 0.00222352 0
8350.58462581 -9.66023525 0.00287590 0
8351.49857577 -9.68747229 0.00166466 0
8351.56566412 -9.69060814 0.00196055 0
8352.47770467 -9.64712887 0.00180842 0
8352.52403116 -9.64604542 0.00200944 0
8352.56784633 -9.64258787 0.00283653 0
8353.47087170 -9.62376446 0.00194741 0
8353.51557799 -9.62252107 0.00199761 0
8353.55874508 -9.62140288 0.00231635 0
8355.47033007 -9.64190663 0.00200126 0
8355.51595065 -9.64097373 0.00226886 0
8355.56015932 -9.63984345 0.00262694 0
8356.47069612 -9.64492098 0.00179630 0
8356.51418728 -9.64108917 0.00190650 0
8356.55840754 -9.64523234 0.00264585 0
8357.47131703 -9.64555191 0.00149923 0
8357.51501652 -9.64548275 0.00154164 0
8357.53620661 -9.64332022 0.00167648 0
8358.48430973 -9.64809799 0.00162648 0
8358.52920125 -9.64659766 0.00184729 0
8358.54997471 -9.65399941 0.00206603 0
8363.48090546 -9.63794827 0.00199396 0
8363.50187571 -9.63687716 0.00201739 0
8363.52223259 -9.63845188 0.00221814 0
