#RV data for 51 Peg downloaded from 
#http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/153/138/table1&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa
#The RV measurements were converted from m/s to km/s
#Original vizier information is given at the end of the file
#
#---------------- --------------- ----------- ------
#BJD (d)          RV (km/s)        e_RV (km/s)  Spectrograph  
#---------------- --------------- ----------- ------
2452137.56967 -33.175 0.007 ELODIE
2452158.53471 -33.194 0.007 ELODIE
2452159.58102 -33.258 0.007 ELODIE
2452160.57764 -33.315 0.007 ELODIE
2452197.40947 -33.22 0.007 ELODIE
2452198.36702 -33.304 0.007 ELODIE
2452217.42115 -33.216 0.007 ELODIE
2452250.31639 -33.283 0.008 ELODIE
2452488.58962 -33.194 0.007 ELODIE
2452532.514 -33.308 0.008 ELODIE
2452533.5107 -33.308 0.008 ELODIE
2452561.30894 -33.25 0.007 ELODIE
2452565.46536 -33.232 0.007 ELODIE
2452612.35669 -33.266 0.008 ELODIE
2452833.60799 -33.315 0.007 ELODIE
2452852.62055 -33.196 0.007 ELODIE
2452858.58701 -33.3 0.008 ELODIE
2452887.53981 -33.275 0.007 ELODIE
2451014.94989 -0.00351 0.00266 Lick6
2451025.9692 -0.00654 0.00244 Lick6
2451048.90883 0.0149 0.00344 Lick6
2451130.63051 0.06486 0.00296 Lick6
2451416.9314 0.00625 0.00248 Lick6
2451444.82429 -0.01138 0.00335 Lick6
2451445.80181 -0.02525 0.00296 Lick6
2451447.73343 0.0682 0.00242 Lick6
2451448.82882 0.01873 0.0026 Lick6
2451482.66856 0.01094 0.00312 Lick6
2451533.57746 0.0046 0.00287 Lick6
2451533.69952 -0.00498 0.00278 Lick6
2451774.86474 -0.00585 0.00247 Lick6
2451815.75195 0.08041 0.0025 Lick6
2451815.77831 0.07674 0.00253 Lick6
2451826.69111 -0.03011 0.00298 Lick6
2451826.7204 -0.03851 0.00289 Lick6
2451834.68005 -0.04137 0.00255 Lick6
2451834.70934 -0.04647 0.00254 Lick6
2451839.68761 -0.01934 0.0029 Lick6
2451869.60058 -0.01155 0.0028 Lick6
2451869.64159 -0.00757 0.0036 Lick6
2452120.87154 0.05572 0.00285 Lick6
2452157.78421 0.04145 0.00262 Lick6
2452158.78814 0.05963 0.00267 Lick6
2452159.76861 -0.00194 0.0024 Lick6
2452160.82332 -0.03915 0.00349 Lick6
2452167.74427 0.04522 0.00296 Lick6
2452167.77357 0.03912 0.00288 Lick6
2452168.76771 -0.03187 0.00273 Lick6
2452168.79798 -0.03837 0.00291 Lick6
2452169.79701 -0.02587 0.00318 Lick6
2452169.82728 -0.00554 0.00337 Lick6
2452170.79016 0.05596 0.00267 Lick6
2452170.81946 0.05846 0.00254 Lick6
2452171.75891 0.04075 0.00308 Lick6
2452171.78918 0.05651 0.00301 Lick6
2452172.79113 -0.02317 0.00258 Lick6
2452172.82042 -0.02581 0.00269 Lick6
2452173.75499 -0.02944 0.00284 Lick6
2452173.78527 -0.02379 0.00286 Lick6
2452184.75188 0.03739 0.00265 Lick6
2452184.78216 0.03028 0.00269 Lick6
2452189.68436 -0.01827 0.00281 Lick6
2452189.71366 -0.02897 0.00278 Lick6
2452492.90711 0.07148 0.00223 Lick8
2452492.91493 0.05879 0.00214 Lick8
2452493.8769 0.0045 0.00224 Lick8
2452493.88178 0.00219 0.00211 Lick8
2452508.84244 0.02269 0.00196 Lick8
2452508.84635 0.01724 0.00208 Lick8
2452509.82978 0.04997 0.00206 Lick8
2452509.83662 0.04933 0.00207 Lick8
2452511.87965 -0.056 0.0021 Lick8
2452511.88552 -0.06089 0.00217 Lick8
2452512.86798 0.00112 0.00223 Lick8
2452512.87383 0.00097 0.00185 Lick8
2452513.85531 0.05573 0.00209 Lick8
2452513.86117 0.0547 0.002 Lick8
2452534.82436 0.05547 0.00208 Lick8
2452535.77846 0.03418 0.00186 Lick8
2452535.7853 0.03399 0.00183 Lick8
2452812.98083 -0.01302 0.00205 Lick8
2452812.98865 -0.01507 0.00221 Lick8
2452813.96725 0.0525 0.00183 Lick8
2452813.97311 0.04831 0.00208 Lick8
2452890.66319 0.05893 0.00631 Lick8
2452890.82823 0.07105 0.00288 Lick8
2452890.85069 0.06154 0.00261 Lick8
2452893.85951 0.01671 0.00221 Lick8
2452894.77065 0.05916 0.00221 Lick8
2452895.80385 -0.00537 0.00204 Lick8
2452897.76382 -0.01106 0.00193 Lick8
2453201.92032 -0.02585 0.0024 Lick8
2453201.94278 -0.03759 0.00261 Lick8
2453210.98935 0.00171 0.00178 Lick8
2453211.95524 0.05576 0.00177 Lick8
2453212.89378 0.01912 0.00189 Lick8
2453250.90139 0.01523 0.00208 Lick8
2453251.90922 -0.04022 0.00253 Lick8
2453280.79097 0.0131 0.00286 Lick8
2453280.79488 0.00338 0.00222 Lick8
2453281.82415 -0.05164 0.00214 Lick8
2453282.78799 -0.00312 0.00215 Lick8
2453334.64032 0.05893 0.002 Lick8
2453337.63811 -0.00911 0.00245 Lick8
2453360.66205 0.04723 0.0024 Lick8
2453560.97086 -0.03701 0.00251 Lick8
