#---------------- --------     ------
#BJD - 2450000(d)  Flux        e_flux    
#---------------- --------     ------
 8325.50531380   0.99981709  0.00021488 
 8325.50670270   0.99973671  0.00021488 
 8325.50809150   1.00001834  0.00021488 
 8325.50948040   0.99990476  0.00021488 
 8325.51086930   0.99959638  0.00021488 
 8325.51225810   0.99961991  0.00021488 
 8325.51364700   0.99993135  0.00021488 
 8325.51503590   0.99962588  0.00021488 
 8325.51642470   0.99994401  0.00021488 
 8325.51781360   0.99974085  0.00021488 
 8325.51920250   0.99936239  0.00021488 
 8325.52059140   0.99982723  0.00021488 
 8325.52198020   0.99987978  0.00021488 
 8325.52336910   0.99955112  0.00021488 
 8325.52475800   1.00014248  0.00021488 
 8325.52614680   0.99992363  0.00021488 
 8325.52753570   0.99990219  0.00021488 
 8325.52892460   0.99999314  0.00021488 
 8325.53031340   0.99990940  0.00021488 
 8325.53170230   0.99966106  0.00021488 
 8325.53309120   0.99986533  0.00021488 
 8325.53448010   0.99973999  0.00021488 
 8325.53586890   0.99945116  0.00021488 
 8325.53725780   0.99980493  0.00021488 
 8325.53864670   0.99993221  0.00021488 
 8325.54003550   0.99979358  0.00021488 
 8325.54142440   0.99974416  0.00021488 
 8325.54281330   0.99980544  0.00021488 
 8325.54420220   0.99985403  0.00021488 
 8325.54559100   0.99959031  0.00021488 
 8325.54697990   0.99986910  0.00021488 
 8325.54836880   0.99994019  0.00021488 
 8325.54975760   0.99953788  0.00021488 
 8325.55114650   0.99993238  0.00021488 
 8325.55253540   0.99984318  0.00021488 
 8325.55392420   1.00000298  0.00021488 
 8325.55531310   0.99969578  0.00021488 
 8325.55670200   0.99995418  0.00021488 
 8325.55809090   0.99974859  0.00021488 
 8325.55947970   0.99983630  0.00021488 
 8325.56086860   0.99985401  0.00021488 
 8325.56225750   0.99993773  0.00021488 
 8325.56364630   1.00000444  0.00021488 
 8325.56503520   0.99970276  0.00021488 
 8325.56642410   0.99983808  0.00021488 
 8325.56781300   0.99998031  0.00021488 
 8325.56920180   1.00015564  0.00021488 
 8325.57059070   0.99990166  0.00021488 
 8325.57197960   1.00010270  0.00021488 
 8325.57336840   0.99971142  0.00021488 
 8325.57475730   1.00013576  0.00021488 
 8325.57614620   1.00000340  0.00021488 
 8325.57753500   1.00011844  0.00021488 
 8325.57892390   1.00010069  0.00021488 
 8325.58031280   0.99996553  0.00021488 
 8325.58170170   0.99998858  0.00021488 
 8325.58309050   0.99981592  0.00021488 
 8325.58447940   0.99997658  0.00021488 
 8325.58586830   0.99999363  0.00021488 
 8325.58725710   1.00006899  0.00021488 
 8325.58864600   0.99999425  0.00021488 
 8325.59003490   1.00002231  0.00021488 
 8325.59142380   0.99996388  0.00021488 
 8325.59281260   1.00029085  0.00021488 
 8325.59420150   1.00009561  0.00021488 
 8325.59559040   0.99987168  0.00021488 
 8325.59697920   1.00014936  0.00021488 
 8325.59836810   0.99989203  0.00021488 
 8325.59975700   1.00010531  0.00021488 
 8325.60114580   1.00005929  0.00021488 
 8325.60253470   1.00001297  0.00021488 
 8325.60392360   1.00022806  0.00021488 
 8325.60531250   1.00001525  0.00021488 
 8325.60670130   0.99987064  0.00021488 
 8325.60809020   1.00026094  0.00021488 
 8325.60947910   1.00026963  0.00021488 
 8325.61086790   0.99974982  0.00021488 
 8325.61225680   0.99999002  0.00021488 
 8325.61364570   1.00020373  0.00021488 
 8325.61503460   1.00005703  0.00021488 
 8325.61642340   0.99988183  0.00021488 
 8325.61781230   1.00013615  0.00021488 
 8325.61920120   1.00012476  0.00021488 
 8325.62059000   1.00011307  0.00021488 
 8325.62197890   1.00004619  0.00021488 
 8325.62336780   1.00008181  0.00021488 
 8325.62475670   0.99991593  0.00021488 
 8325.62614550   0.99998355  0.00021488 
 8325.62753440   1.00031318  0.00021488 
 8325.62892330   1.00006881  0.00021488 
 8325.63031210   0.99978423  0.00021488 
 8325.63170100   1.00012317  0.00021488 
 8325.63308990   0.99990170  0.00021488 
 8325.63447870   1.00029905  0.00021488 
 8325.63586760   1.00021759  0.00021488 
 8325.63725650   1.00014693  0.00021488 
 8325.63864540   0.99994067  0.00021488 
 8325.64003420   0.99979281  0.00021488 
 8325.64142310   0.99991767  0.00021488 
 8325.64281200   1.00015422  0.00021488 
 8325.64420080   0.99992487  0.00021488 
 8325.64558970   0.99981473  0.00021488 
 8325.64697860   0.99967858  0.00021488 
 8325.64836750   0.99999455  0.00021488 
 8325.64975630   1.00016622  0.00021488 
 8325.65114520   0.99993518  0.00021488 
 8325.65253410   1.00011245  0.00021488 
 8325.65392290   0.99985232  0.00021488 
 8325.65531180   0.99981649  0.00021488 
 8325.65670070   0.99997047  0.00021488 
 8325.65808960   1.00006865  0.00021488 
 8325.65947840   0.99993683  0.00021488 
 8325.66086730   1.00029852  0.00021488 
 8325.66225620   1.00004290  0.00021488 
 8325.66364500   1.00016439  0.00021488 
 8325.66503390   0.99989008  0.00021488 
 8325.66642280   1.00001807  0.00021488 
 8325.66781160   1.00036298  0.00021488 
 8325.66920050   0.99995116  0.00021488 
 8325.67058940   0.99958075  0.00021488 
 8325.67197830   0.99978376  0.00021488 
 8325.67336710   0.99985706  0.00021488 
 8325.67475600   0.99952766  0.00021488 
 8325.67614490   1.00001529  0.00021488 
 8325.67753370   1.00001050  0.00021488 
 8325.67892260   1.00009981  0.00021488 
 8325.68031150   1.00027304  0.00021488 
 8325.68170040   1.00009855  0.00021488 
 8325.68308920   1.00027998  0.00021488 
 8325.68447810   0.99984989  0.00021488 
 8325.68586700   0.99995711  0.00021488 
 8325.68725580   0.99991114  0.00021488 
 8325.68864470   0.99975677  0.00021488 
 8325.69003360   1.00003601  0.00021488 
 8325.69142250   1.00017665  0.00021488 
 8325.69281130   0.99997238  0.00021488 
 8325.69420020   1.00008232  0.00021488 
 8325.69558910   0.99980616  0.00021488 
 8325.69697790   0.99993591  0.00021488 
 8325.69836680   0.99993375  0.00021488 
 8325.69975570   1.00026981  0.00021488 
 8325.70114460   1.00017906  0.00021488 
 8325.70253340   1.00011922  0.00021488 
 8325.70392230   1.00023008  0.00021488 
 8325.70531120   0.99994783  0.00021488 
 8325.70670000   1.00012619  0.00021488 
 8325.70808890   0.99993335  0.00021488 
 8325.70947780   0.99996612  0.00021488 
 8325.71086660   0.99999259  0.00021488 
 8325.71225550   1.00005706  0.00021488 
 8325.71364440   1.00020674  0.00021488 
 8325.71503330   0.99996741  0.00021488 
 8325.71642210   0.99994598  0.00021488 
 8325.71781100   1.00001557  0.00021488 
 8325.71919990   0.99993895  0.00021488 
 8325.72058870   0.99984703  0.00021488 
 8325.72197760   0.99979581  0.00021488 
 8325.72336650   0.99980350  0.00021488 
 8325.72475540   0.99959139  0.00021488 
 8325.72614420   0.99991340  0.00021488 
 8325.72753310   0.99970878  0.00021488 
 8325.72892200   0.99984889  0.00021488 
 8325.73031080   1.00010790  0.00021488 
 8325.73169970   0.99999770  0.00021488 
 8325.73308860   0.99987480  0.00021488 
 8325.73447750   0.99969151  0.00021488 
 8325.73586630   1.00015134  0.00021488 
 8325.73725520   1.00005525  0.00021488 
 8325.73864410   0.99984805  0.00021488 
 8325.74003290   1.00012148  0.00021488 
 8325.74142180   0.99998530  0.00021488 
 8325.74281070   1.00009853  0.00021488 
 8325.74419960   0.99957573  0.00021488 
 8325.74558840   1.00050290  0.00021488 
 8325.74697730   0.99996001  0.00021488 
 8325.74836620   0.99987563  0.00021488 
 8325.74975500   0.99990327  0.00021488 
 8325.75114390   0.99996051  0.00021488 
 8325.75253280   1.00042927  0.00021488 
 8325.75392170   0.99998669  0.00021488 
 8325.75531050   1.00003584  0.00021488 
 8325.75669940   1.00011089  0.00021488 
 8325.75808830   0.99991823  0.00021488 
 8325.75947710   0.99990098  0.00021488 
 8325.76086600   1.00000514  0.00021488 
 8325.76225490   0.99993030  0.00021488 
 8325.76364370   0.99994286  0.00021488 
 8325.76503260   0.99975791  0.00021488 
 8325.76642150   0.99995378  0.00021488 
 8325.76781040   0.99979784  0.00021488 
 8325.76919920   0.99991061  0.00021488 
 8325.77058810   1.00049972  0.00021488 
 8325.77197700   1.00026838  0.00021488 
 8325.77336580   0.99989903  0.00021488 
 8325.77475470   1.00023453  0.00021488 
 8325.77614360   1.00001700  0.00021488 
 8325.77753250   0.99992128  0.00021488 
 8325.77892130   1.00013757  0.00021488 
 8325.78031020   1.00025667  0.00021488 
 8325.78169910   1.00023266  0.00021488 
 8325.78308790   1.00006664  0.00021488 
 8325.78447680   1.00012444  0.00021488 
 8325.78586570   0.99991312  0.00021488 
 8325.78725460   0.99978391  0.00021488 
 8325.78864340   1.00000723  0.00021488 
 8325.79003230   0.99998093  0.00021488 
 8325.79142120   0.99988803  0.00021488 
 8325.79281000   1.00015466  0.00021488 
 8325.79419890   1.00009426  0.00021488 
 8325.79558780   1.00004058  0.00021488 
 8331.48024620   1.00020003  0.00021488 
 8331.48163510   0.99986931  0.00021488 
 8331.48302390   0.99966898  0.00021488 
 8331.48441280   1.00042234  0.00021488 
 8331.48580170   0.99991951  0.00021488 
 8331.48719060   1.00005128  0.00021488 
 8331.48857940   1.00023544  0.00021488 
 8331.48996830   0.99995230  0.00021488 
 8331.49135720   1.00014185  0.00021488 
 8331.49274600   0.99994021  0.00021488 
 8331.49413490   1.00029916  0.00021488 
 8331.49552380   0.99982992  0.00021488 
 8331.49691270   0.99982486  0.00021488 
 8331.49830150   0.99972261  0.00021488 
 8331.49969040   0.99993685  0.00021488 
 8331.50107930   1.00021899  0.00021488 
 8331.50246820   1.00002093  0.00021488 
 8331.50385700   1.00030956  0.00021488 
 8331.50524590   1.00010299  0.00021488 
 8331.50663480   1.00011323  0.00021488 
 8331.50802370   0.99996455  0.00021488 
 8331.51080140   0.99965411  0.00021488 
 8331.51219030   1.00024822  0.00021488 
 8331.51357910   0.99991154  0.00021488 
 8331.51635690   1.00002157  0.00021488 
 8331.51774580   1.00008878  0.00021488 
 8331.51913460   1.00029909  0.00021488 
 8331.52052350   0.99996180  0.00021488 
 8331.52191240   1.00005610  0.00021488 
 8331.52330130   1.00004300  0.00021488 
 8331.52469010   1.00023100  0.00021488 
 8331.52607900   0.99987790  0.00021488 
 8331.52746790   1.00016839  0.00021488 
 8331.52885680   0.99990758  0.00021488 
 8331.53024560   1.00003317  0.00021488 
 8331.53163450   1.00008656  0.00021488 
 8331.53302340   1.00009754  0.00021488 
 8331.53441230   0.99974263  0.00021488 
 8331.53580110   0.99992580  0.00021488 
 8331.53719000   0.99979568  0.00021488 
 8331.53857890   1.00026376  0.00021488 
 8331.53996770   0.99942963  0.00021488 
 8331.54135660   0.99938180  0.00021488 
 8331.54274550   0.99979976  0.00021488 
 8331.54413440   1.00008813  0.00021488 
 8331.54552320   1.00003059  0.00021488 
 8331.54691210   0.99987765  0.00021488 
 8331.54830100   1.00017581  0.00021488 
 8331.54968990   1.00051837  0.00021488 
 8331.55107870   1.00007432  0.00021488 
 8331.55246760   1.00015597  0.00021488 
 8331.55385650   0.99995941  0.00021488 
 8331.55941200   1.00031198  0.00021488 
 8331.56080080   1.00013502  0.00021488 
 8331.56218970   0.99972365  0.00021488 
 8331.56496750   0.99974641  0.00021488 
 8331.56774520   0.99989926  0.00021488 
 8331.56913410   0.99982298  0.00021488 
 8331.57052300   1.00000860  0.00021488 
 8331.57191180   1.00003941  0.00021488 
 8331.57330070   1.00001022  0.00021488 
 8331.57468960   0.99992534  0.00021488 
 8331.57607850   0.99980844  0.00021488 
 8331.57746730   0.99991495  0.00021488 
 8331.57885620   0.99987905  0.00021488 
 8331.58024510   1.00010756  0.00021488 
 8331.58163390   0.99990755  0.00021488 
 8331.58302280   1.00008815  0.00021488 
 8331.58441170   1.00009875  0.00021488 
 8331.58580060   0.99986024  0.00021488 
 8331.58718940   1.00021993  0.00021488 
 8331.58857830   0.99993361  0.00021488 
 8331.58996720   1.00012380  0.00021488 
 8331.59135610   0.99970387  0.00021488 
 8331.59274490   1.00027056  0.00021488 
 8331.59413380   0.99975233  0.00021488 
 8331.59552270   0.99974911  0.00021488 
 8331.59691160   1.00009858  0.00021488 
 8331.59830040   1.00004835  0.00021488 
 8331.59968930   0.99996362  0.00021488 
 8331.60107820   1.00009278  0.00021488 
 8331.60246700   1.00015375  0.00021488 
 8331.60385590   0.99986670  0.00021488 
 8331.60524480   1.00010956  0.00021488 
 8331.60663370   1.00001012  0.00021488 
 8331.60802250   1.00008297  0.00021488 
 8331.60941140   1.00008732  0.00021488 
 8331.61080030   1.00020407  0.00021488 
 8331.61218920   0.99990141  0.00021488 
 8331.61357800   0.99994596  0.00021488 
 8331.61496690   0.99973359  0.00021488 
 8331.61635580   0.99962533  0.00021488 
 8331.61774470   1.00000047  0.00021488 
 8331.61913350   0.99996020  0.00021488 
 8331.62052240   0.99992493  0.00021488 
 8331.62191130   0.99999806  0.00021488 
 8331.62330020   1.00003569  0.00021488 
 8331.62468900   1.00008291  0.00021488 
 8331.62607790   0.99991343  0.00021488 
 8331.62746680   0.99987535  0.00021488 
 8331.63024450   1.00013028  0.00021488 
 8331.63163340   0.99990589  0.00021488 
 8331.63302230   0.99985150  0.00021488 
 8331.63441110   1.00009861  0.00021488 
 8331.63580000   0.99991811  0.00021488 
 8331.63718890   0.99976271  0.00021488 
 8331.63857780   0.99969700  0.00021488 
 8331.63996660   1.00018861  0.00021488 
 8331.64135550   1.00005300  0.00021488 
 8331.64274440   0.99988529  0.00021488 
 8331.64413330   1.00033189  0.00021488 
 8331.64552210   0.99966196  0.00021488 
 8331.64691100   0.99965674  0.00021488 
 8331.64829990   0.99978933  0.00021488 
 8331.64968870   0.99987521  0.00021488 
 8331.65107760   0.99991049  0.00021488 
 8331.65246650   0.99971276  0.00021488 
 8331.65385540   0.99959073  0.00021488 
 8331.65524420   1.00000901  0.00021488 
 8331.65663310   0.99995337  0.00021488 
 8331.65802200   1.00010854  0.00021488 
 8331.65941090   1.00027351  0.00021488 
 8331.66079970   1.00005766  0.00021488 
 8331.66218860   1.00001612  0.00021488 
 8331.66357750   0.99981107  0.00021488 
 8331.66496640   1.00005993  0.00021488 
 8331.66635520   0.99974457  0.00021488 
 8331.66774410   0.99986582  0.00021488 
 8331.66913300   0.99968956  0.00021488 
 8331.67191070   0.99996365  0.00021488 
 8331.67468850   1.00026053  0.00021488 
 8331.67607730   0.99983806  0.00021488 
 8331.67746620   1.00004809  0.00021488 
 8331.67885510   0.99970981  0.00021488 
 8331.68024400   0.99953573  0.00021488 
 8331.68163280   0.99993427  0.00021488 
 8331.68302170   0.99996699  0.00021488 
 8331.68441060   0.99994451  0.00021488 
 8331.68718830   1.00033025  0.00021488 
 8331.68857720   1.00003235  0.00021488 
 8331.68996610   0.99984815  0.00021488 
 8331.69135490   0.99992486  0.00021488 
 8331.69274380   0.99998827  0.00021488 
 8331.69413270   1.00010107  0.00021488 
 8331.69552160   1.00013837  0.00021488 
 8331.69691040   1.00002366  0.00021488 
 8331.69829930   1.00010906  0.00021488 
 8331.69968820   0.99988295  0.00021488 
 8331.70107710   1.00020454  0.00021488 
 8331.70246590   1.00014583  0.00021488 
 8331.70385480   1.00006621  0.00021488 
 8331.70524370   0.99999139  0.00021488 
 8331.70663260   1.00010557  0.00021488 
 8331.70802140   0.99986384  0.00021488 
 8331.70941030   0.99993992  0.00021488 
 8331.71079920   0.99985429  0.00021488 
 8331.71218800   1.00022847  0.00021488 
 8331.71357690   0.99986043  0.00021488 
 8331.71496580   0.99987599  0.00021488 
 8331.71635470   0.99965325  0.00021488 
 8331.71774350   0.99984011  0.00021488 
 8331.71913240   0.99956876  0.00021488 
 8331.72052130   0.99972992  0.00021488 
 8331.72191020   0.99968908  0.00021488 
 8331.72329900   0.99928641  0.00021488 
 8331.72468790   0.99970687  0.00021488 
 8331.72607680   0.99979902  0.00021488 
 8331.72746570   0.99982297  0.00021488 
 8331.72885450   0.99981411  0.00021488 
 8331.73024340   0.99971144  0.00021488 
 8331.73163230   0.99954837  0.00021488 
 8331.73302110   0.99971061  0.00021488 
 8331.73441000   0.99962574  0.00021488 
 8331.73579890   0.99964647  0.00021488 
 8331.73718780   0.99957319  0.00021488 
 8331.73857660   0.99970132  0.00021488 
 8331.73996550   0.99954073  0.00021488 
 8331.74135440   0.99940225  0.00021488 
 8331.74274330   0.99971837  0.00021488 
 8331.74413210   0.99954948  0.00021488 
 8331.74552100   0.99958789  0.00021488 
 8331.74690990   1.00014662  0.00021488 
 8331.74829880   0.99978121  0.00021488 
 8331.74968760   0.99963211  0.00021488 
 8331.75107650   0.99952521  0.00021488 
 8331.75246540   1.00025533  0.00021488 
 8331.75385420   0.99945541  0.00021488 
 8331.75524310   0.99992311  0.00021488 
 8331.75663200   0.99956080  0.00021488 
 8331.75802090   0.99963369  0.00021488 
 8331.75940970   0.99957957  0.00021488 
 8331.76079860   0.99968376  0.00021488 
 8331.76218750   0.99939313  0.00021488 
 8331.76357640   0.99958292  0.00021488 
 8331.76496520   1.00000291  0.00021488 
 8331.76635410   0.99984868  0.00021488 
 8331.76774300   0.99992795  0.00021488 
 8331.76913190   0.99996022  0.00021488 
 8331.77052070   0.99958218  0.00021488 
 8331.77190960   0.99980335  0.00021488 
 8331.77329850   0.99986281  0.00021488 
 8331.77468730   0.99989388  0.00021488 
 8331.77607620   0.99976193  0.00021488 
 8331.77746510   0.99942777  0.00021488 
 8331.77885400   0.99970424  0.00021488 
 8331.78024280   0.99990799  0.00021488 
 8331.78163170   1.00010024  0.00021488 
 8331.78302060   0.99976818  0.00021488 
 8331.78579830   0.99979106  0.00021488 
 8331.78718720   0.99980290  0.00021488 
 8331.78857610   0.99950843  0.00021488 
 8331.79135380   0.99959560  0.00021488 
 8331.79274270   0.99965093  0.00021488 
 8331.79413160   0.99981396  0.00021488 
 8331.79552040   0.99948937  0.00021488 
 8331.79690930   0.99930829  0.00021488 
 8331.79968710   0.99967763  0.00021488 
 8331.80107590   0.99982565  0.00021488 
 8331.80246480   0.99968116  0.00021488 
 8331.80385370   0.99942566  0.00021488 
 8331.80524260   0.99962187  0.00021488 
 8331.80663140   0.99933477  0.00021488 
 8331.80802030   0.99977548  0.00021488 
 8331.80940920   0.99955967  0.00021488 
 8331.81079810   0.99968267  0.00021488 
 8331.81218690   0.99983157  0.00021488 
 8331.81357580   0.99964016  0.00021488 
 8331.81496470   0.99972085  0.00021488 
 8331.81635350   0.99985184  0.00021488 
 8331.81774240   0.99965002  0.00021488 
 8331.81913130   0.99962350  0.00021488 
 8331.82052020   0.99959388  0.00021488 
 8331.82190900   0.99956086  0.00021488 
 8331.82329790   0.99958333  0.00021488 
 8331.82468680   0.99991261  0.00021488 
 8331.82607570   0.99997948  0.00021488 
 8331.82746450   1.00005605  0.00021488 
 8331.82885340   1.00004182  0.00021488 
 8331.83024230   0.99987368  0.00021488 
 8331.83163120   1.00002054  0.00021488 
 8331.83302000   1.00014840  0.00021488 
 8331.83440890   0.99997475  0.00021488 
 8331.83579780   1.00014821  0.00021488 
 8331.83718660   1.00002116  0.00021488 
 8331.84135330   0.99959598  0.00021488 
 8331.84274210   0.99976403  0.00021488 
 8331.84413100   1.00006417  0.00021488 
 8331.84551990   0.99991580  0.00021488 
 8331.84690880   1.00002844  0.00021488 
 8331.84829760   0.99998897  0.00021488 
 8331.84968650   1.00009120  0.00021488 
 8331.85107540   1.00009363  0.00021488 
 8331.85246430   1.00023065  0.00021488 
 8331.85385310   0.99978006  0.00021488 
 8331.85524200   0.99985268  0.00021488 
 8331.85663090   1.00011181  0.00021488 
 8331.85801970   1.00020082  0.00021488 
 8331.85940860   1.00017413  0.00021488 
 8331.86079750   0.99992444  0.00021488 
 8331.86218640   0.99961604  0.00021488 
 8331.86357520   1.00000925  0.00021488 
 8331.86496410   1.00002995  0.00021488 
 8331.86635300   0.99986245  0.00021488 
 8331.86774190   1.00002295  0.00021488 
 8331.86913070   1.00005334  0.00021488 
 8331.87051960   1.00032564  0.00021488 
 8331.87190850   1.00010442  0.00021488 
 8331.87329730   0.99963310  0.00021488 
 8331.87468620   1.00006859  0.00021488 
 8331.87607510   1.00017158  0.00021488 
 8331.87746400   1.00034616  0.00021488 
 8331.87885280   0.99979553  0.00021488 
 8331.88024170   0.99992540  0.00021488 
 8331.88163060   1.00007958  0.00021488 
 8331.88301950   0.99978974  0.00021488 
 8331.88440830   0.99971141  0.00021488 
 8331.88579720   0.99989978  0.00021488 
 8331.88718610   1.00017615  0.00021488 
 8331.88857500   0.99980700  0.00021488 
 8331.88996380   0.99983716  0.00021488 
 8331.89135270   1.00005012  0.00021488 
 8331.89274160   1.00036917  0.00021488 
 8331.89413040   1.00003662  0.00021488 
 8331.89551930   0.99991657  0.00021488 
 8331.89690820   0.99976671  0.00021488 
 8331.89829710   1.00010666  0.00021488 
 8331.89968590   0.99987469  0.00021488 
 8331.90107480   1.00014004  0.00021488 
 8331.90246370   0.99997147  0.00021488 
 8331.90385260   1.00013250  0.00021488 
 8331.90524140   1.00007543  0.00021488 
 8331.90663030   0.99985896  0.00021488 
 8331.90801920   1.00031439  0.00021488 
 8331.90940810   0.99974871  0.00021488 
 8331.91079690   0.99996133  0.00021488 
 8331.91218580   0.99983945  0.00021488 
 8331.91357470   1.00002827  0.00021488 
 8331.91496350   0.99981568  0.00021488 
 8331.91635240   1.00017699  0.00021488 
 8331.91774130   1.00045141  0.00021488 
